negative	the script was reportedly rewritten a dozen times -- either 11 times too many or else too few 
negative	as you watch them clumsily mugging their way through snow dogs , 
negative	jfk conspiracy nuts 
positive	too goodly , wise and knowing or downright comically evil 
positive	the increasingly diverse french director 
positive	more than a 
negative	has its redundancies 
positive	the style and flash of the double-cross that made mamet 's `` house of games '' and last fall 's `` heist '' so much fun 
positive	jazzy score 
negative	`` sorority boys '' was funnier , and that movie was pretty bad . 
negative	is both a snore and utter tripe . 
negative	quickly sinks into by-the-numbers territory . 
positive	this 20th anniversary edition of the film 
negative	content merely to lionize its title character and exploit his anger - all for easy sanctimony , formulaic thrills and a ham-fisted sermon on the need for national health insurance . 
negative	misconceived final 
negative	might have been saved if the director , tom dey , had spliced together bits and pieces of midnight run and 48 hours ( and , for that matter , shrek ) 
negative	resentment 
negative	value whatsoever 
negative	that there is nothing in it to engage children emotionally 
positive	a captivatingly quirky hybrid 
positive	a strong and confident work which works so well for the first 89 minutes , but ends so horrendously confusing in the final two 
positive	creates images even more haunting than those in mr. spielberg 's 1993 classic 
negative	tired retread 
positive	sorvino glides gracefully from male persona to female without missing a beat . 
positive	opening up 
positive	addition to scoring high for originality of plot 
positive	daughter 
positive	final verdict 
negative	by his lack of self-awareness 
negative	pulpy 
negative	the simpering soundtrack and editing 
positive	its economical 
positive	cinematic bon bons 
negative	get out 
negative	is wrong in its sequel 
positive	fascination , 
positive	is cinema 
positive	the gifts of all involved , starting with spielberg and going right through the ranks of the players -- on-camera and off -- that he brings together . 
positive	enthrall the whole family 
positive	of all ages 
negative	stuffy , full of itself , 
negative	hold onto what 's left of his passe ' chopsocky glory 
negative	be underestimated 
positive	honest insight 
positive	awarded mythic status in contemporary culture 
positive	, the film , directed by joel zwick , is heartfelt and hilarious in ways you ca n't fake . 
positive	is honestly affecting 
positive	more watchable 
negative	does not deserve to go down with a ship as leaky as this 
positive	's a lovely , sad dance highlighted by kwan 's unique directing style 
negative	much a home video , and so devoid of artifice and purpose that it appears not to have been edited at all . 
positive	bristles with passion and energy 
negative	shallow , noisy and pretentious . 
negative	a banal spiritual quest 
positive	be seen as hip , winking social commentary 
positive	this modern mob music drama 
negative	for a reasonably intelligent person to get through the country bears 
negative	nothing but one relentlessly depressing situation after another for its entire running time 
positive	, it uses very little dialogue , making it relatively effortless to read and follow the action at the same time . 
negative	a 95-minute commercial 
positive	creates a fluid and mesmerizing sequence of images to match the words of nijinsky 's diaries . 
negative	this would have been better than the fiction it has concocted , and 
positive	amusing for a good while 
negative	the film 's hero is a bore and his innocence soon becomes a questionable kind of inexcusable dumb innocence . 
negative	ultimately flawed 
negative	it projects onto the screen -- loud , violent and mindless 
positive	real-life persona 
negative	letdown 
positive	jump-in-your-seat moment 
positive	acute expressiveness 
positive	is the action as gripping 
positive	are complex and quirky , but entirely believable 
positive	shrewd , powerful act 
positive	a definitive counter-cultural document 
negative	as well as rank frustration from those in the know about rubbo 's dumbed-down tactics ) 
negative	poor casting 
negative	`` abandon '' 
positive	particularly balk , who 's finally been given a part worthy of her considerable talents 
negative	vacuous 
negative	bounces around with limp wrists 
negative	has the thrown-together feel of a summer-camp talent show : hastily written , underrehearsed , arbitrarily plotted 
positive	outing with one of france 's most inventive directors 
negative	even murphy 's expert comic timing and famed charisma ca n't rescue this effort . 
negative	this is rote spookiness , with nary an original idea ( or role , or edit , or score , or anything , really ) in sight 
positive	find it more than capable of rewarding them 
negative	a terrible movie that some people 
positive	saturday night live-style parody , '70s blaxploitation films and goofball action comedy 
negative	ignore the reputation , and ignore the film . 
positive	fessenden has nurtured his metaphors at the expense of his narrative , but he does display an original talent . 
negative	beneath it 
positive	too goodly , wise and knowing 
positive	however , it 's pleasant enough and its ecological , pro-wildlife sentiments are certainly welcome . 
negative	hard to care about a film that proposes as epic tragedy the plight of a callow rich boy who is forced to choose between his beautiful , self-satisfied 22-year-old girlfriend and an equally beautiful , self-satisfied 18-year-old mistress 
positive	a chilling tale of one of the great crimes of 20th century france : the murder of two rich women by their servants in 1933 . 
positive	the movie is loaded with good intentions 
positive	a caffeinated , sloppy brilliance , 
positive	assured , vital and well wrought , the film is , arguably , the most accomplished work to date from hong kong 's versatile stanley kwan . 
positive	smartly and wistfully 
positive	has been awarded mythic status in contemporary culture 
negative	half-assed 
negative	never quite 
positive	gentle jesus 
negative	in a way that 's too loud , too goofy and too short of an attention span 
negative	warn 
positive	is a fine-looking film with a bouncy score and a clutch of lively songs for deft punctuation . 
negative	exasperated by a noticeable lack of pace 
negative	would do better elsewhere . 
positive	joys 
positive	well-behaved film 
negative	a little too much resonance with real world events 
negative	is too crazy to be interesting 
positive	gangster no. 1 is solid , satisfying fare for adults . 
negative	nearly every attempt at humor here is doa . 
negative	girls , right down the reality drain 
positive	fantasized 
positive	turn in perfectly executed and wonderfully sympathetic characters , who are alternately touching and funny 
negative	wasting 
negative	a party-hearty teen flick that scalds like acid . 
positive	a party-hearty teen 
negative	whatever terror the heroes of horror movies try to avoid 
positive	one can honestly describe as looking , sounding and simply feeling like no other film in recent history 
positive	the salton sea works the way a good noir should 
positive	is uniquely felt with a sardonic jolt . 
negative	, plodding picture 
positive	pretty watchable 
negative	, the film shows signs that someone other than the director got into the editing room and tried to improve things by making the movie go faster . 
negative	made me want to pack raw dough in my ears . 
positive	great pleasure 
positive	jolt you 
negative	the central flaw 
positive	a captivating drama 
positive	charismatic rising star jake gyllenhaal 
positive	on digital video , whose tiny camera enables shafer to navigate spaces both large ... and small ... with considerable aplomb 
positive	sad , occasionally horrifying but often inspiring film 
positive	goodness 
negative	with cute accents performing ages-old slapstick and unfunny tricks 
positive	to think about the ways we consume pop culture 
positive	it 's no lie -- big fat liar is a real charmer . 
positive	the right bands for the playlist and the costuming of the stars 
negative	ensues when brash young men set out to conquer the online world with laptops , cell phones and sketchy business plans 
positive	, kinky fun 
negative	stalking 
positive	politically potent 
negative	when you 're rooting for the film to hurry up and get to its subjects ' deaths just so the documentary will be over 
negative	about every cliche in the war movie compendium across its indulgent two-hour-and-fifteen-minute length 
negative	it is n't quite one of the worst movies of the year . 
negative	irresponsible 
positive	fused with solid performances and eerie atmosphere 
negative	there 's nothing exactly wrong here , but there 's not nearly enough that 's right . 
positive	mib ii '' succeeds due to its rapid-fire delivery and enough inspired levity that it ca n't be dismissed as mindless . 
negative	godard uses his characters -- if that 's not too glorified a term -- as art things , mouthpieces , visual motifs , blanks . 
positive	it 's at once laughable and compulsively watchable , in its committed dumbness . 
negative	irritates and 
positive	by a fantastic dual performance from ian holm 
positive	the best actors there is 
negative	collateral damage is trash 
negative	'll need a stronger stomach than us 
positive	that will strike a chord with anyone who 's ever 
positive	laid-back 
positive	applying definition to both sides of the man 
positive	each one of these people stand out and 
positive	minor classic 
